net,optimizer,min_max_ut,rep,seed,size_gen,n_decision_rules,mode,stop_generation,best_fitness,best_accuracy,mean_accuracy,mse_chance,mse_utility
bypass2,umda,True,0,42,50,4,both,11,0.0,85.0,57.6,0.8611013108082328,5.639810367800383
bypass2,umda,True,1,43,50,4,both,16,0.0,95.0,64.3,0.8523902118996309,4.323901256075908
bypass2,umda,True,2,44,50,4,both,11,0.0,90.0,57.1,0.5934429454479018,10.828973823424096
bypass2,umda,True,3,45,50,4,both,11,0.0,75.0,53.2,0.5267872891260504,5.519312725194794
bypass2,umda,True,4,46,50,4,both,14,0.0,85.0,61.2,0.7999329060787053,5.0747844436463305
bypass2,umda,True,5,47,50,4,both,12,0.0,85.0,69.0,0.7313438491606071,9.77284220771836
bypass2,umda,True,6,48,50,4,both,15,0.0,95.0,66.3,0.6894762543452144,3.3982152939901025
bypass2,umda,True,7,49,50,4,both,13,0.0,95.0,60.0,1.0252042452873782,3.457385554760995
bypass2,umda,True,8,50,50,4,both,12,0.0,90.0,60.9,0.4908912289346793,3.381955037907543
bypass2,umda,True,9,51,50,4,both,10,0.0,95.0,63.5,0.6318055350738837,2.5681216533589897
bypass2,umda,False,0,42,50,4,both,14,0.0,80.0,53.6,0.6461525419652626,5.128222108123585
bypass2,umda,False,1,43,50,4,both,12,0.0,85.0,62.3,0.6895737799474108,4.077897956956349
bypass2,umda,False,2,44,50,4,both,17,0.0,95.0,60.6,0.7773513460945765,15.511420553675752
bypass2,umda,False,3,45,50,4,both,12,0.0,95.0,66.7,0.7295568611510853,9.407238239231917
bypass2,umda,False,4,46,50,4,both,20,0.0,85.0,65.1,0.8948281059388777,8.513630469925486
bypass2,umda,False,5,47,50,4,both,14,0.0,85.0,65.8,0.5976909094967137,7.447917891342243
bypass2,umda,False,6,48,50,4,both,14,0.0,85.0,62.4,0.49553249559284085,9.156186540761702
bypass2,umda,False,7,49,50,4,both,17,0.0,85.0,60.0,0.7690603037691978,11.47913321455145
bypass2,umda,False,8,50,50,4,both,11,0.0,85.0,63.4,0.9209347002442989,6.021616217159298
bypass2,umda,False,9,51,50,4,both,17,0.0,95.0,60.3,0.6253071206451334,21.304244097120424
bypass2,emna,True,0,42,50,4,both,10,0.0,85.0,58.6,1.0222528452912831,4.657467636166301
bypass2,emna,True,1,43,50,4,both,20,0.0,100.0,67.4,1.0533728337926827,5.800683490880972
bypass2,emna,True,2,44,50,4,both,17,0.0,100.0,76.4,0.8422461116181872,8.403879507729934
bypass2,emna,True,3,45,50,4,both,22,0.0,100.0,64.2,0.7051382557925518,7.966990242799282
bypass2,emna,True,4,46,50,4,both,20,0.0,100.0,70.1,1.062908592752637,12.315772578805518
bypass2,emna,True,5,47,50,4,both,17,0.0,85.0,67.5,0.8578627986642071,10.130702263386599
bypass2,emna,True,6,48,50,4,both,19,0.0,100.0,74.7,1.2211469518272982,14.56352003838815
bypass2,emna,True,7,49,50,4,both,17,0.0,100.0,59.7,0.839512228222166,7.702758472952376
bypass2,emna,True,8,50,50,4,both,19,0.0,85.0,57.7,0.9688500745485278,8.888300372794172
bypass2,emna,True,9,51,50,4,both,22,0.0,90.0,62.6,0.636431393573696,4.531943282569818
bypass2,emna,False,0,42,50,4,both,21,0.0,100.0,73.0,1.0580642295037046,20.94004202553235
bypass2,emna,False,1,43,50,4,both,22,0.0,100.0,62.7,0.9380087668070045,15.819084317742657
bypass2,emna,False,2,44,50,4,both,22,0.0,85.0,59.0,1.4491421376815679,12.638393966490447
bypass2,emna,False,3,45,50,4,both,20,0.0,100.0,70.4,1.0629526398945155,24.119296226501447
bypass2,emna,False,4,46,50,4,both,19,0.0,100.0,76.7,0.8442528890015091,20.602139784439643
